#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:10
Jp+|sF16Vt	Basic (and reversed card)-b9071	日文文法	...も...(附加,重複)	今日も明日も働きます(今天和明天都要工作)<div>[sound:rec1548517509.mp3]</div>					
zS`q<99=}%	Basic (and reversed card)-b9071	日文文法	...も...(數量)	ご飯を三杯も食べました[sound:rec1548517710.mp3]					
Ja|QuTVGcN	Basic (and reversed card)-b9071	日文文法	疑問詞+も+否定(完全否定)<div><br /></div>	どこにも行きたくありません(哪裡都不想去)<div>[sound:rec1548518230.mp3]</div>					
pexVPvDJ`7	Basic (and reversed card)-b9071	日文文法	には／へは／とは（とも）	花子は誰とも会いません(花子他誰也不想見)[sound:rec1548518499.mp3]					
nFeYJ&hen-	Basic (and reversed card)-b9071	日文文法	にも／からも／でも（では）	デストは私にも難しいです(考試對我來說也很難)<div>[sound:rec1548518728.mp3]</div>					
tcfER|[%]j	Basic (and reversed card)-b9071	日文文法	[時間]+ぐらい／くらい	私は毎日2時間ぐらい勉強します(我每天大約念兩小時的書)[sound:rec1548519210.mp3]					N5文法
l(s}BU9gk/	Basic (and reversed card)-b9071	日文文法	[數量]+ぐらい／くらい	この本は3回ぐらい読みました(這本書看了三次左右)[sound:rec1548519626.mp3]<div><br></div>					N5文法
k5q-a,fY2;	Basic (and reversed card)-b9071	1.每日日文文法	...だけ...だけの...	漢字は少しだけわかります(漢字只懂一點點)<div>[sound:rec1548519792.mp3]できるだけ[sound:google-c08c3e3e-78106db8-c3baf557-3ea30466-7224d78d.mp3]<br>できるだけ[副]盡量=なるべく<br>「～多少就;盡量～」<br>在某個範圍程度內,(想/要/能)多少就～<br>文法：<br>Ｖ原<br>い/い<br>な/な<br>＋だけ...<br>Ｖ普＋だけの＋Ｎ(足以～；得以應付)表後面接的名詞足以應付～<br></div>					N3文法
mB^ov3]>o~	Basic (and reversed card)-b9071	1.每日日文文法	しか+[否定]	お弁当は一つしか買いませんでした(僅僅買了一個便當)<div>[sound:rec1548520374.mp3]<br>五千円しかありません<br>僅有5000日圓[sound:google-55b31de4-65bb0e3b-c7eeb4dd-c64cbb16-784b1ad9.mp3]<br></div>					N4文法
ei0)zJ*~:g	Basic (and reversed card)-b9071	日文文法	...か...(選擇)	ビールかお酒を飲みます(喝啤酒或清酒)[sound:rec1548520684.mp3]					
p((~Yw!=)M	Basic (and reversed card)-b9071	日文文法	...か...か...(選擇)	熱いか寒いかわかりません(不知道是冷還是熱)<div>[sound:rec1548521101.mp3]</div>					
N,?6e6j{xc	Basic (and reversed card)-b9071	日文文法	[疑問詞]+か	いつか行きましょう(改天一起去吧)[sound:rec1548601550.mp3]					
JYk@C(;zqi	Basic (and reversed card)-b9071	日文文法	[句子]+か	あなたは学生ですか(你是學生嗎)<div>[sound:rec1548601727.mp3]</div>					
C+T6i>Gl>K	Basic (and reversed card)-b9071	日文文法	[疑問句]+か。[疑問句]+か。「是...,還是...」	ラーメンはおいしいですか、まずいですか。(拉麵好吃還是難吃?)[sound:rec1548602085.mp3]<div><br /></div>					
"d/>[X#>aDF"	Basic (and reversed card)-b9071	日文文法	[句子]+ね	今日はとても熱いですね(今天好熱呀)[sound:rec1548602297.mp3]<div><br /></div>					
t:Fw|Oq&}N	Basic (and reversed card)-b9071	日文文法	[句子]+よ	あの映画は面白いですよ(那部電影很好看喔)[sound:rec1548602476.mp3]<div><br /></div>					
BH[<:JB:u1	Basic (and reversed card)-b9071	日文文法	[句子]+わ　　　女性用語	あ、お金がないわ(阿!沒有錢了)&nbsp;[sound:rec1548602612.mp3]					
O=-M!vN(|Y	Basic (and reversed card)-b9071	日文文法	中(じゅう) / (ちゅう)	仕事は今月中に終わります(工作將在這個月結束)[sound:rec1548602919.mp3]<div><br /></div>					
n(vw{(Y;[Q	Basic (and reversed card)-b9071	日文文法	たち／がた「們」	素敵な方々に出会いました(遇見很棒的人們)[sound:rec1548603208.mp3]					
uz^I=N`]1d	Basic (and reversed card)-b9071	日文文法	[左右]ごろ	11月ごろから寒くなります（從十一月左右開始天氣變冷）[sound:rec1548603696.mp3]					
BiRdMICm$Y	Basic (and reversed card)-b9071	日文文法	すぎ／まえ「差」「前」	今9時１５分過ぎです（現在是９點過１５分）[sound:rec1548604136.mp3]					
o[*AA<fJpW	Basic (and reversed card)-b9071	日文文法	和（なに）／（なん）	今何時ですか？（現在幾點呢）[sound:rec1548604307.mp3]					
P.5;zhJ@m+	Basic (and reversed card)-b9071	日文文法	だれ／どなた	あなたはどなたですか（你是哪位呢）[sound:rec1548604635.mp3]					
"s#]<[*{|2B"	Basic (and reversed card)-b9071	日文文法	いつ　「何時」	いつ家に着きますか（甚麼時候到家呢？）[sound:rec1548604847.mp3]					
M=&n~nI%l$	Basic (and reversed card)-b9071	日文文法	いくつ（個數）／いくつ（年齡）	いくつほしですか（你想要幾個呢）[sound:rec1548605005.mp3]					
"o>;#6@!~~h"	Basic (and reversed card)-b9071	日文文法	どう／いかが「如何」	日本語はどうですか（日文怎麼樣呢）[sound:rec1548605662.mp3]					
s(K`b35q-6	Basic (and reversed card)-b9071	日文文法	どんな「什麼樣的」	どんな本を読みますか（你看甚麼樣的書）[sound:rec1548605965.mp3]					
"JX}*#x}8My"	Basic (and reversed card)-b9071	日文文法	どのぐらい／どれぐらい「多少．多少錢．多長．多遠」	飛行機でどれぐらいかかりますか（搭飛機要花多少錢呢）[sound:rec1548606157.mp3]					
u91$ZYN)u-	Basic (and reversed card)-b9071	日文文法	なぜ／どうして「為什麼」	どうして元気がありませんか（為甚麼沒精神呢）[sound:rec1548606317.mp3]					
u(T@mm<O(U	Basic (and reversed card)-b9071	日文文法	なにか／だれか／どこかへ　「去某地」「某些」「什麼」「某人」	どこかで食事しましょう（找個地方吃飯吧）[sound:rec1548606576.mp3]					
wr8tU=C-UN	Basic (and reversed card)-b9071	日文文法	なにも／だれも／どこへも「也（不）．．．」	何もしたくありません（什麼也不想做）[sound:rec1548606997.mp3]					
OsVj!DYP2}	Basic (and reversed card)-b9071	日文文法	これ／それ／あれ／どれ　「這個」「那個」「那個」「哪個」	どれがあなたの本ですか（哪一本是你的書）[sound:rec1548607211.mp3]					
IMZ9+mEOwS	Basic (and reversed card)-b9071	日文文法	この／その／あの／どの　「這．．．」「那．．．」「那．．．」「哪．．．」	どの人が田中さんですか（哪一個人是田中先生呢）[sound:rec1548608038.mp3]					
fUVFc%F.8]	Basic (and reversed card)-b9071	日文文法	ここ／そこ／あそこ／どこ	花子さんはどこですか(花子小姐在哪呢)<div>[sound:rec1548779697.mp3]</div>					
"I#;bVF7:Yj"	Basic (and reversed card)-b9071	日文文法	こちら／そちら／あちら／どちら	お手洗いはあちらです（洗手間在那邊)<div>[sound:rec1548779985.mp3]</div>					
PAH<(7IjUt	Basic (and reversed card)-b9071	日文文法	形容詞(現在肯定/否定)<div>「い」的前面是詞幹,否定把「い」轉變「く」，再加上「ない」或「あれません」</div>	このテストは難しくないです（這場考試不難)[sound:rec1548780454.mp3]					
