front,back,sentence,tags,deck
独身,「どくしん」單身,,日文單字N5-N1,日文單字N5-N1
特売,「とくばい」特賣,,日文單字N5-N1,日文單字N5-N1
独立,「どくりつ」[名、自サ]：獨立インドがイギリスから独立する　印度從英國獨立出來兄が父親のもとから完全に独立する,,日文N2單字,日文N2單字
都市,「とし」都市,,日文單字N5-N1,日文單字N5-N1
友,「とも」朋友,,日文單字N5-N1,日文單字N5-N1
虎,「とら」老虎,,日文單字N5-N1,日文單字N5-N1
取引,「とりひき」[名·自他サ]交易。 (商人之間，相互的利益如政治)あの会社とは取引がない／和那家公司沒有往來。政治的取引をする／進行政治交易。野党と政治を取引する／與反對黨討價還價。,,日文N3單字,日文N3單字
泥,"「どろ」[名]：泥,泥土,小偷",,日文N2單字,日文N2單字
...ないこともない、ないことはない　「並不是不...」「不是不...」,"条件次第では、契約しないこともないですよ(是條件而定,也不是不能簽約的)文法：L54&lt;消極肯定&gt;Vないい/くないな/でないN/でない＋ことはない＋こともない表不想斷定的說明(意思：就是懂了/是)句型重點：〜という可能性[かのうせい]があるかもしれない(口說)/絶対[ぜったい]に〜とは言えない*一種語帶保留的語氣，使用「雙重否定」來表達消極的肯定。也就是並非全盤否定，而是說「也有那個可能性」。*本句型為「避免斷定」之說法。「イケメンでないことはない」也不說不帥啦やらなくないことはない。",,日文N2文法,日文N2文法
...ないではいられない、...ずにはいられない　　「不能不...」「忍不住要...」「不禁要...」「情不自禁～」「不由自主地...」,"あの映画のラストシーンは感動的で、泣かないではいれなかった(那齣電影的最後一幕真動人,讓人不禁哭了起來)文法：ない＋ではいられないない去ない / ずにはいられない(較正式)表想要前句狀況一直維持，但很難近乎不可能表說話者光告自己意志，無法控制自己不去做某事*するーせずにはいられない主語為第一人稱，當用到第三人，句末加上「～ようだ」「～らしい」",,日文N2文法,日文N2文法
"...ながら「雖然...,但是...」「儘管...」「明明...卻...」","単純な物語ながら、深い意味が含まれているのです(雖然這個故事很單純,但卻含有深遠的意味)文法：&lt;逆接&gt;V去ます/Vないい/いな/０/でありN/０/であり＋ながら＋ながら（も）雖然...但．屬於逆接用法,表示原先預想的是前句內容,但實際上是後句內容。與N2L30「つつ(も)」相近。 ．前後句主語要相同",,日文N2文法,日文N2文法
名,"「な」名子,名稱",,日文單字N5-N1,日文單字N5-N1
内科,「ないか」內科,,日文單字N5-N1,日文單字N5-N1
内線,「ないせん」內線,,日文單字N5-N1,日文單字N5-N1
内容,「ないよう」內容,,日文單字N5-N1,日文單字N5-N1
仲,"「なか」交情,關係",,日文單字N5-N1,日文單字N5-N1
仲直り,「なかなおり」和好,,日文單字N5-N1,日文單字N5-N1
仲良し,「なかよし」好朋友,,日文單字N5-N1,日文單字N5-N1
斜め,「ななめ」【名・形動】傾斜;非同往常斜めになる。／倾斜。,,日文N2單字,日文N2單字
生,「なま」名：1.生、鮮 2.未加工生ヒール、生クルーム、生放送 / Live、未加工剪輯放映,,日文N2單字,日文N2單字
波,"「なみ」波浪,起伏",,日文單字N5-N1,日文單字N5-N1
並木,「なみき」名：行道樹桜の並木が続いている・櫻花樹延續著,,日文N2單字,日文N2單字
涙,"「なみだ」淚,眼淚",,日文單字N5-N1,日文單字N5-N1
日時,「にちじ」名詞：日期跟時間,,日文N3單字,日文N3單字
日常,「にちじょう」日常,,日文N3單字,日文N3單字
日中,"「にっちゅう」名詞：日間、白天、一天之內(扣除早、晚,中午過後天還亮著)",,日文N2單字,日文N2單字
入浴,"「にゅうよく」沐浴,洗澡",,日文單字N5-N1,日文單字N5-N1
入力,"「にゅうりょく」【名・他サ】(資料等)輸入,電腦打字",,日文N2單字,日文N2單字
鶏,「にわとり」雞,,日文單字N5-N1,日文單字N5-N1
「ねずみ」老鼠,「ねずみ」老鼠,,日文N2單字,日文N2單字
熱中,"「ねっちゅう」熱中,沉迷",,日文單字N5-N1,日文單字N5-N1
年賀状,「ねんがじょう」賀年卡,,日文N2單字,日文N2單字
年間ねんかん,「ねんかん」名：全年,,日文N2單字,日文N2單字
年月,"「ねんげつ」年月,歲月",,日文單字N5-N1,日文單字N5-N1
年中,「ねんじゅう」一整年,,日文單字N5-N1,日文單字N5-N1
～年生,「ねんせい」~年級,,日文單字N5-N1,日文單字N5-N1
年末,"「ねんまつ」年末,年底年末年始ねんしの消費活動は翌年よくとしの景気を占うらなう上で、よく注目されます年末年初的消費活動在預測第二年的景氣上，經常受到關注。L117 在做～方面V原Ｎ/の＋上で",,日文N2單字,日文N2單字
野,"「の」原野,田地",,日文單字N5-N1,日文單字N5-N1
農村,「のうそん」農村,,日文單字N5-N1,日文單字N5-N1
農民,「のうみん」農民,,日文單字N5-N1,日文單字N5-N1
能力,「のうりょく」能力,,日文單字N5-N1,日文單字N5-N1
上り,"「のぼり」登,爬",,日文單字N5-N1,日文單字N5-N1
...など　　「怎麼會...」「才(不)...」,あんなやつを助けてなど、やるもんか(我才不去幫那種傢伙呢!),,日文文法,日文文法
...なんか、なんて、など　「...等等」「...之一類的」「...什麼的」「連...都...(不)...」,"食品なんかは近くの店で買うことができます(食品之類的,附近的商店可以買得到)文法：N3L66/90 舉例句型&lt;負面多、心裡心情性格&gt;V常い/いな/(だ)N(だ)+など（文章/口語）なんか（口語）なんて（口語）L66舉前面N同類事物的例子スープにするなら、この肉なんかいいと思いますよ煮湯的話，這樣的肉就可以了喔L90表示說話者不重要或謙虛用法日劇：",,日文N3文法,日文N3文法
...にあたって、にあたり　「在...的時候」「當...之時」「當...之際」,"この実験をするにあたり、いくつか注意しなければならないことがある(在進行這個實驗的時候,有幾點要注意的)文法：&lt;正式&gt;&lt;積極&gt;L135VるNにあたってにあたり(中止)にあたりまして(丁寧)表需表達決心的場合，積極決心，常用於演講。",,日文N2文法,日文N2文法
飲み会,"「のみかい」酒會,聚會",,日文單字N5-N1,日文單字N5-N1
海苔,「のり」海苔,,日文單字N5-N1,日文單字N5-N1
乗り越し,「のりこし」做過站,,日文單字N5-N1,日文單字N5-N1
倍,"「ばい」倍,加倍",,日文單字N5-N1,日文單字N5-N1
灰色,「はいいろ」名：灰色,,日文N2單字,日文N2單字
梅雨,「ばいう」梅雨,,日文單字N5-N1,日文單字N5-N1
売店,"「ばいてん」售貨亭,小賣店",,日文單字N5-N1,日文單字N5-N1
売買,「ばいばい」名、他サ：買賣＝買う、売る市場で商品を売買する。在市場販賣商品,,日文N3單字,日文N3單字
拍手,「はくしゅ」拍手[名、自サ]拍手、鼓掌[慣用句] 拍手[N]を送る。鼓掌。拍手をする,,日文N2單字,日文N2單字
博物館,「はくぶつかん」博物館,,日文單字N5-N1,日文單字N5-N1
箸,「はし」筷子,,日文單字N5-N1,日文單字N5-N1
柱,「はしら」柱子,,日文單字N5-N1,日文單字N5-N1
畑,「はたけ」 旱田,,日文單字N5-N1,日文單字N5-N1
働き,"「はたらき」工作,作用,效能",,日文單字N5-N1,日文單字N5-N1
働き者,「はたらきもの」勤勞的人,,日文單字N5-N1,日文單字N5-N1
発見,「はっけん」名、他サ：發現この方法を發見する　　事実じじつ,,日文N2單字,日文N2單字
発車,「はっしゃ」開車,,日文單字N5-N1,日文單字N5-N1
発想,"「はっそう」名、自他サ：創想,想出...主意ドラマを発想する(人為想出來的)ビジネスユーザー体験価値たいけんかちから発想するデザイン(自V)從使用者體驗設計出來的",,日文N2單字,日文N2單字
発達,「はったつ」[名、自サ]進步、發達主要從內部發展起來，用於人、動物、能力、自然現象技術が発達する。,,日文N2單字,日文N2單字
発電,「はつでん」發電,,日文單字N5-N1,日文單字N5-N1
発表,「はっぴょう」發表,,日文單字N5-N1,日文單字N5-N1
話し中,"「はなしちゅう」談話當中,正在說話",,日文單字N5-N1,日文單字N5-N1
花火,「はなび」煙火,,日文單字N5-N1,日文單字N5-N1
鼻水,「はなみず」鼻水,,日文單字N5-N1,日文單字N5-N1
幅,「はば」寬度,,日文單字N5-N1,日文單字N5-N1
歯磨き,"「はみがき」刷牙,牙膏",,日文單字N5-N1,日文單字N5-N1
場面,「ばめん」名詞：場面、情境、場景,,日文N2單字,日文N2單字
早寝早起き,「はやねはやおき」早睡早起,,日文單字N5-N1,日文單字N5-N1
腹,"「はら」肚子,想法,情緒,肚量",,日文單字N5-N1,日文單字N5-N1
はり,"「針」針,針狀物",,日文N2單字,日文N2單字
範囲,「はんい」範圍,,日文單字N5-N1,日文單字N5-N1
本日,"「ほんじつ」本日,今天",,日文單字N5-N1,日文單字N5-N1
反省,「はんせい」反省,,日文單字N5-N1,日文單字N5-N1
半年,「はんとし」半年,,日文單字N5-N1,日文單字N5-N1
半日,「はんにち」半天,,日文單字N5-N1,日文單字N5-N1
犯人,「はんにん」犯人,,日文單字N5-N1,日文單字N5-N1
～番目,「ばんめ」~號,,日文單字N5-N1,日文單字N5-N1
日当たり,"「ひあたり」名：日照,向陽處「日差し」ひざし陽光",,日文N3文法,日文N3文法
被害,被害「ひがい」[名]　受害、損失,,日文N2單字,日文N2單字
日帰り,「ひがえり」【名・自サ】當天來回[かえります]帰る[自サ]私が電車で日帰りする・會搭電車當天來回日帰りで東京へ行く・我會以當天來回的方式去東京東京まで日帰り旅行をする・去東京做一個當天來回的旅行,,日文N2單字,日文N2單字
引き算,「ひきざん」減法,,日文單字N5-N1,日文單字N5-N1
飛行,「ひこう」飛行,,日文單字N5-N1,日文單字N5-N1
美術,「びじゅつ」美術,,日文單字N5-N1,日文單字N5-N1
